Rank,Release Group,Worldwide,Domestic,%,Foreign,%
145,The Lord of the Rings: The Fellowship of the Ring 2019 Re-release,"$987,411",-,-,"$987,411",100%
146,Gekijouban Bang Dream! Episode of Roselia: Promise,"$962,004",-,-,"$962,004",100%
147,The Box,"$956,926",-,-,"$956,926",100%
148,Zoya,"$944,885",-,-,"$944,885",100%
149,Maya the Bee 3: The Golden Orb,"$932,688",-,-,"$932,688",100%
150,The Vault,"$930,530",-,-,"$930,530",100%
151,Scoob! 2021 Re-release,"$850,000","$850,000",100%,-,-
152,Fly Me Away,"$841,407",-,-,"$841,407",100%
153,Four Good Days,"$837,849","$837,849",100%,-,-
154,Dynasty Warriors,"$829,947",-,-,"$829,947",100%
155,Mandibles,"$812,150",-,-,"$812,150",100%
156,The Truffle Hunters,"$771,696","$318,885",41.3%,"$452,811",58.7%
157,Lamb of God: The Concert Film,"$744,513","$744,513",100%,-,-
158,Jathi Ratnalu,"$731,273","$470,000",64.3%,"$261,273",35.7%
159,Trang Ti Phieu Luu Ky,"$665,224",-,-,"$665,224",100%
160,Our Friend,"$663,725","$663,725",100%,-,-
161,Ready o/r Knot,"$657,371",-,-,"$657,371",100%
162,Music,"$645,949",-,-,"$645,949",100%
163,Tazza: One-Eyed Jack 2021 Re-release,"$645,401",-,-,"$645,401",100%
164,The Seventh Day,"$618,634",-,-,"$618,634",100%
165,Three Sisters 2021 Re-release,"$594,075",-,-,"$594,075",100%
166,Chungking Express 2020 Re-release,"$591,356",-,-,"$591,356",100%
167,Kongsuni The Movie: Toy World Adventure,"$571,058",-,-,"$571,058",100%
168,Girls Can't Surf,"$520,780",-,-,"$520,780",100%
169,Dark Spell,"$515,596",-,-,"$515,596",100%
170,Twist,"$509,918",-,-,"$509,918",100%
171,Riders of Justice,"$498,172","$39,926",8%,"$458,246",92%
172,Top Gun 2021 Re-release,"$471,982","$457,577",96.9%,"$14,405",3.1%
173,Kalathil Sandhippom,"$453,001",-,-,"$453,001",100%
174,2021 Oscar Nominated Short Films: Live Action,"$443,050","$443,050",100%,-,-
175,Spirit Untamed,"$441,761",-,-,"$441,761",100%
176,My Salinger Year,"$436,467","$54,730",12.5%,"$381,737",87.5%
177,Willy's Wonderland,"$431,020","$418,286",97%,"$12,734",3%
178,Minamata,"$421,521",-,-,"$421,521",100%
179,The Cinderella Addiction,"$421,202",-,-,"$421,202",100%
180,Bangaru Bullodu,"$418,267",-,-,"$418,267",100%
181,Earwig and the Witch,"$412,232","$173,704",42.1%,"$238,528",57.9%
182,The United States vs. Billie Holiday,"$397,237",-,-,"$397,237",100%
183,The Water Man,"$371,552","$371,552",100%,-,-
184,The Last Journey of Paul W. R.,"$352,260",-,-,"$352,260",100%
185,Russian Yug,"$348,435",-,-,"$348,435",100%
186,Locked Down,"$334,050",-,-,"$334,050",100%
187,The Emperor's New Groove 2021 Re-release,"$334,000","$334,000",100%,-,-
188,Occupation: Rainfall,"$331,091",-,-,"$331,091",100%
189,Sound of Metal,"$326,368",-,-,"$326,368",100%
190,Every Breath You Take,"$324,710",-,-,"$324,710",100%
191,Rising Wolf,"$323,756",-,-,"$323,756",100%
192,Dutch,"$323,167","$323,167",100%,-,-
193,Abominable 2021 Re-release,"$310,087","$110,000",35.5%,"$200,087",64.5%
194,Cosmic Sin,"$308,932",-,-,"$308,932",100%
195,Birth Time: The Documentary,"$306,281",-,-,"$306,281",100%
196,Under the Stars of Paris,"$305,795",-,-,"$305,795",100%
197,Kabadadaari,"$302,563",-,-,"$302,563",100%
198,Dawn Raid,"$295,955",-,-,"$295,955",100%
199,The Funeral Home,"$289,879",-,-,"$289,879",100%
200,Ginger's Tale,"$284,298",-,-,"$284,298",100%
